track_id,image_url,name,artist,album,release_year,popularity,duration_ms
5Ggb9pKiKcr5vNV9v1e1vs,https://i.scdn.co/image/ab67616d0000b273f507e5b4c73b7b8fba510c28,"Tumhare Hi Rahenge Hum (From ""Stree 2"")",Sachin-Jigar,"Tumhare Hi Rahenge Hum (From ""Stree 2"")",2024,75,230086
34Fh4HXZmnuBdtgejWUZg2,https://i.scdn.co/image/ab67616d0000b273c3be0e4563f5564640effc13,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",2024,74,281511
2E5kZ1qnB7V9bcwBEKvZv8,https://i.scdn.co/image/ab67616d0000b2730097e55317238f0a7dce13f6,"Kasturi (From ""Amar Prem Ki Prem Kahani"")",Arijit Singh,"Kasturi (From ""Amar Prem Ki Prem Kahani"")",2024,76,232568
2rOnSn2piaqLAlYjtfUBlY,https://i.scdn.co/image/ab67616d0000b273a75c2f26913099a420050f01,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",2021,72,230292
0a17mIL7XTvYqe9mxuPd3y,https://i.scdn.co/image/ab67616d0000b27340bbf387f0a0286354a8dbfa,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",Tanishk Bagchi,"Agar Ho Tum (From ""Mr. And Mrs. Mahi"")",2024,69,253223
2ceeTJAzKy295Fm0VsaXtE,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Sachin-Jigar,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024,80,264089
3yHyiUDJdz02FZ6jfUbsmY,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",2023,79,271169
0M0ANKNzmM4Odd7FNKghzW,https://i.scdn.co/image/ab67616d0000b27352e3a807b72281cb40c08092,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024,76,171147
2ZD4aIEepqZsdxPxLSuUhm,https://i.scdn.co/image/ab67616d0000b273fdd4cc7defb987b4c3aa2d9e,Tere Pyaar Mein,Pritam,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023,76,266094
36N5awamOX6XX5pQn3aFXZ,https://i.scdn.co/image/ab67616d0000b273b397e32af8189792fb1513b4,"Soni Soni (From ""Ishq Vishk Rebound"")",Darshan Raval,"Soni Soni (From ""Ishq Vishk Rebound"")",2024,75,176875
0qQ4IdhjzNr0gJhdMTf2n3,https://i.scdn.co/image/ab67616d0000b2737506d87e6489c5a93c042523,"O Maahi (From ""Dunki"")",Pritam,"O Maahi (From ""Dunki"")",2023,72,233453
6E9UwSfT80age2xknoMS7Y,https://i.scdn.co/image/ab67616d0000b2736539071e0f1833190a491d4d,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,"Tum Hi Aana (From ""Marjaavaan"")",2019,71,249126
1r6GbBLdtUK1Vl1IHT14wP,https://i.scdn.co/image/ab67616d0000b273373b21b6dfdb6cd71e03101f,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz,Mr. And Mrs. Mahi (Original Motion Picture Soundtrack),2024,70,281511
6bmmHeCvZI92pRiTHxEdTC,https://i.scdn.co/image/ab67616d0000b273ab1e3b16de1c7ec009880e97,O Maahi,Pritam,Dunki,2023,73,233453
